Region,POP,GDP
阿里地区,10.7,52.62
塔城地区,15.2,693.27
果洛州,20.84,41.45
林芝市,22.8,150.01
阿拉善盟,24.94,283.3
嘉峪关市,25.2,299.62
黄南州,27.68,88.33
海北州,28.43,83.53
山南市,36.8,164.32
迪庆州,40,217.52
玉树州,41.66,53.6
克拉玛依市,44.28,898.1
金昌市,46.86,264.24
博尔塔拉州,47.54,330.3
海南州,47.63,158.18
那曲地区,50.4,135.67
海西州,51.86,625.27
怒江州,53.4,161.56
哈密市,56.11,536.61
乌海市,56.33,495.9
克孜勒苏州,62.06,128.89
吐鲁番市,66.73,310.59
阿勒泰,67.16,259.21
三亚市,68.54,595.51
拉萨市,68.6,540.78
昌都市,70.5,193.6
甘南州,72.02,155.73
石嘴山市,72.55,605.92
日喀则市,77.7,243.2
铜川市,80.37,327.96
阿坝州,89.87,306.67
锡林郭勒盟,105.48,813.9
鄂州市,107.77,1005.3
中卫市,108.08,402.99
酒泉市,109.59,596.9
鹰潭市,112.49,818.98
舟山市,117.3,1316.7
新余市,118.67,1027.34
甘孜州,119.6,291.2
德宏州,121.1,381.06
张掖市,123.38,407.71
攀枝花市,123.6,1173.52
固原市,124.24,303.19
巴音郭楞州,127.93,1027.5
丽江市,129.6,350.76
莱芜市,137.9,1005.65
盘锦市,139.25,1216.6
黄山市,140.7,677.9
阳泉市,141.44,733.7
吴忠市,141.54,534.53
双鸭山市,146.26,507
池州市,147.4,684.9
海东市,148.02,451.5
张家界市,153.79,578.92
雅安市,154,646.1
兴安盟,160.79,472.48
昌吉,161,1367.3
鹤壁市,162.73,861.9
铜陵市,162.9,1222.4
景德镇市,167.32,846.6
巴彦淖尔市,169,813.1
本溪市,170.95,823.1
白银市,173.42,511.6
朔州市,178.12,1065.6
阜新市,181.93,446
武威市,182.78,469.27
辽阳市,185.88,869.7
鸡西市,186.22,535.2
珠海市,189.11,2914.74
萍乡市,193.3,1009.05
临夏州,194.67,255.35
贺州市,195.41,602.63
银川市,199.31,1901.48
崇左市,199.43,1002
鄂尔多斯市,207.84,3763.2
丽水市,211.7,1394.67
平凉市,211.91,395.17
抚顺市,213.81,1048.8
乌兰察布市,214.36,764.5
东营市,217.21,4152.47
衢州市,220.9,1470.58
随州市,221.67,1011.19
淮北市,225.4,985.2
延安市,225.94,1558.91
庆阳市,226.66,708.15
海口市,230.23,1510.51
马鞍山市,233.7,1918.1
晋城市,234.31,1351.9
安顺市,235.31,849.4
西宁市,237.11,1286.41
商洛市,238.02,824.77
丹东市,238.2,816.7
玉溪市,238.6,1493.04
营口市,242.85,1346.7
黄石市,247.07,1587.33
保山市,250.6,738.14
资阳市,251.2,1066.53
和田地区,252.28,305.57
云浮市,252.69,849.13
呼伦贝尔市,253.01,1252.9
临沧市,253.6,630.02
普洱市,254.3,662.48
咸宁市,254.33,1362.42
阿克苏地区,254.6,1027.43
佳木斯市,255.21,1012
阳江市,255.56,1350.31
三明市,258,2353.72
葫芦岛市,262.35,812.8
陇南市,263.43,379.23
龙岩市,264,2393.3
宣城市,264.8,1317.2
湘西州,264.95,605.05
包头市,265.04,2951.8
潮州市,265.66,1067.28
漯河市,266.53,1236.66
广元市,266.7,801.85
安康市,266.89,1133.77
南平市,269,1792.51
铁岭市,271.77,616.6
楚雄州,274.8,1024.33
黔西南州,280.59,1163.77
定西市,282.17,356.26
威海市,283,3641.48
湘潭市,286.48,2161.36
湖州市,289.35,2719.1
荆门市,289.65,1847.89
莆田市,290,2242.41
大庆市,290.45,2801.2
宁德市,291,1942.8
自贡市,292,1406.71
日照市,293.03,2202.17
六盘水市,293.73,1525.69
眉山市,298.41,1256.02
汕尾市,299.36,920.32
韶关市,299.76,1343.91
朝阳市,304.46,831.4
河源市,309.39,1006
呼和浩特市,312.6,2903.5
锦州市,312.65,1192.4
通辽市,313.32,1301.6
秦皇岛市,313.42,1635.56
铜仁市,316.88,1066.52
忻州市,317.2,989.1
镇江市,319.64,4050
遂宁市,320.18,1221.39
黔南州,323.12,1313.46
广安市,324.1,1250.24
中山市,331,3632.7
巴中市,332.2,645.88
天水市,335.49,652.05
河池市,336.92,788.3
恩施州,337.8,870.95
晋中市,338.16,1447.6
蚌埠市,339.2,1714.66
十堰市,340.6,1747.82
榆林市,341.78,3848.62
汉中市,343.61,1471.88
大理州,345.6,1122.44
大同市,345.6,1271.8
长治市,346.8,1645.6
淮南市,349,1133.3
乌鲁木齐市,350.58,3099.77
乐山市,350.68,1615.09
黔东南州,353.83,1036.62
德阳市,354.5,2213.87
承德市,357.89,1481.5
焦作市,359.07,2371.5
濮阳市,360.94,1654.47
鞍山市,364.59,1751.1
文山州,365.4,859.06
内江市,369.9,1411.75
芜湖市,374.8,3278.53
兰州市,375.36,2732.94
宝鸡市,377.1,2265.16
清远市,387.4,1565.19
吕梁市,388.56,1420.3
滨州市,392.25,2640.52
枣庄市,392.73,2402.38
娄底市,393.18,1540.41
株洲市,402.08,2631.54
柳州市,404.17,3053.65
抚州市,404.72,1382.4
厦门市,411,4791.41
滁州市,411.4,1801.7
贵港市,411.88,1169.88
宜昌市,413.59,4064.18
肇庆市,415.17,2201.8
赤峰市,432.2,1549.87
泸州市,432.36,1694.97
廊坊市,435.88,3108.2
咸阳市,436.61,2376.45
梅州市,437.88,1110.21
益阳市,441.38,1758.38
太原市,442.15,3884.48
张家口市,443.4,1536.6
许昌市,443.74,2830.62
衡水市,447.2,1558.7
临汾市,450.03,1440
红河州,450.1,1593.77
连云港市,452,2771.7
扬州市,453.1,5466.17
凉山州,453.28,1533.19
宜宾市,455.6,2026.37
开封市,456.49,2002.23
江门市,459.82,2900.41
伊犁,461.71,939.85
泰州市,463.57,5107.63
喀什地区,464.97,890.12
安庆市,469.1,1917.6
淄博市,470.18,5068.35
嘉兴市,472.6,4871.98
常州市,472.86,7050.27
郴州市,474.45,2391.87
孝感市,481.45,1912.9
惠州市,483,4103.05
六安市,483.7,1288.1
绵阳市,485.7,2302.82
贵阳市,488.19,3798.45
九江市,489.68,2700.19
平顶山市,490.44,2135.23
绍兴市,491.22,5416.9
淮安市,492.5,3601.25
宿迁市,492.59,2750.72
吉安市,495.66,1742.23
怀化市,497.96,1513.27
漳州市,514,3947.63
安阳市,517.6,2393.22
亳州市,523.7,1277.19
渭南市,532.77,1767.71
齐齐哈尔,534,1340.2
运城市,535.97,1509.6
宜春市,541.96,2180.85
永州市,545.21,1805.65
南昌市,554.55,5274.67
昭通市,559.1,889.54
金华市,560.4,4100.2
汕头市,563.85,2512.05
泰安市,564,3651.53
襄阳市,566.9,4309.79
宿州市,568.14,1630.22
荆州市,569.17,2082.18
达州市,572,1690.17
新乡市,579.41,2526.55
岳阳市,579.71,3411.01
德州市,581,3380.3
常德市,582.72,3394.2
曲靖市,585.5,2013.36
聊城市,607.45,3152.15
揭阳市,608.94,2152.47
遵义市,612.7,3000.23
台州市,613.9,4874.67
驻马店市,619.02,2370.32
茂名市,631.32,3092.18
黄冈市,633,2035.2
南充市,644,2006.03
信阳市,647.41,2387.8
无锡市,657.45,11438.62
南宁市,666.16,4147.06
大连市,669.04,7668.5
上饶市,681.07,2212.78
昆明市,685,5206.9
洛阳市,688.85,4640.78
烟台市,712.18,7832.58
盐城市,720,5487.08
衡阳市,724.34,3046.03
南通市,731,8427
商丘市,732.53,2389.04
湛江市,733.2,3008.39
邵阳市,737.05,1782.65
邢台市,737.44,2150.8
济南市,746.04,7856.56
唐山市,757.73,6955
沧州市,758.6,3676.4
长春市,767.71,7175.7
福州市,774,7856.81
佛山市,790.57,9935.88
合肥市,808.7,7822.91
沈阳市,810.62,6292.4
长沙市,815.47,11003.41
宁波市,820.2,10745.5
阜阳市,820.7,1759.5
济宁市,834.59,4930.58
赣州市,836.84,2807.24
东莞市,839.22,8278.59
南京市,843.62,12820.4
周口市,867.78,2687.22
泉州市,870,8467.97
菏泽市,876.5,3078.78
徐州市,880.2,6755.23
温州市,925,6006.16
潍坊市,937.31,6156.78
青岛市,939.48,12001.52
邯郸市,952.8,3454.6
杭州市,980.6,13509.2
西安市,1000.37,8349.86
南阳市,1001.36,3566.77
郑州市,1013.6,10143.32
石家庄,1016.38,6082.6
临沂市,1062.4,4717.8
苏州市,1072.17,18597.47
哈尔滨,1092.9,6300.5
武汉市,1108.1,14847.29
保定市,1119.44,3589.8
深圳市,1302.66,24221.98
广州市,1490.44,22859.35
天津市,1559.6,18809.64
成都市,1633,15342.77
北京市,2154.2,30320
上海市,2423.78,32679.87
重庆市,3101.79,20363.19
