id,name,type,typecode,biz_type,address,LONGITUDE,LATITUDE,tel,pname,cityname,adname
B001B06EAF,湖北大学武昌校区,科教文化服务;学校;高等院校,141201,,友谊大道368号,114.334121,30.57687,027-88664102,湖北省,武汉市,武昌区
B001B0J0AA,武汉大学工学部,科教文化服务;学校;高等院校,141201,,校园北路,114.362329,30.543863,027-68775361,湖北省,武汉市,武昌区
B001B0IQYB,武汉音乐学院解放路校区,科教文化服务;学校;高等院校,141201,,解放路255号,114.295059,30.537664,027-88069387;027-88066354,湖北省,武汉市,武昌区
B001B08W98,湖北省武昌实验中学,科教文化服务;学校;中学,141202,,火炬路48号,114.303214,30.552287,027-88852768;027-88712062,湖北省,武汉市,武昌区
B001B16KT7,武汉大学生命科学学院,科教文化服务;学校;高等院校,141201,,珞珈山街道八一路299号,114.360868,30.533153,027-68756695;027-68754125,湖北省,武汉市,武昌区
B001B0IZWE,武汉中学,科教文化服务;学校;中学,141202,,粮道街275号,114.31178,30.547796,027-88912096;027-88912006,湖北省,武汉市,武昌区
B001B0I9T0,中南财经政法大学首义校区,科教文化服务;学校;高等院校,141201,,武珞路114号,114.313162,30.537365,027-88384522,湖北省,武汉市,武昌区
B001B06U1W,武汉大学医学部,科教文化服务;学校;高等院校,141201,,东湖路115号,114.353884,30.554086,027-68758689;027-68759364,湖北省,武汉市,武昌区
B001B0IFVJ,湖北财税职业学院,科教文化服务;学校;高等院校,141201,,白沙洲大道519号,114.298612,30.515271,027-88116071;027-88117970,湖北省,武汉市,武昌区
B001B0IG2Y,武汉大学经济与管理学院,科教文化服务;学校;高等院校,141201,,八一路299号珞珈山武汉大学,114.373465,30.538799,027-68752883,湖北省,武汉市,武昌区
B001B09EOG,水果湖第一小学,科教文化服务;学校;小学,141203,,水果湖街办事处东三路3号,114.348846,30.543876,027-87814681,湖北省,武汉市,武昌区
B001B06MRR,武昌中华路小学,科教文化服务;学校;小学,141203,,中华路59号,114.299847,30.549712,027-88857576,湖北省,武汉市,武昌区
B001B0I7V4,武汉市第十五中学,科教文化服务;学校;中学,141202,,武珞路343号,114.326887,30.538107,027-87813979,湖北省,武汉市,武昌区
B001B077EP,武汉市东湖中学,科教文化服务;学校;中学,141202,,徐东大街348号,114.367908,30.573514,,湖北省,武汉市,武昌区
B001B0IG36,武汉大学新闻与传播学院,科教文化服务;学校;高等院校,141201,,八一路299号珞珈山武汉大学,114.367746,30.539772,027-68752685;027-68752684,湖北省,武汉市,武昌区
B001B0IQOI,湖北美术学院(昙华林校区),科教文化服务;学校;高等院校,141201,,中山路374号(中铁十一局对面),114.316139,30.548231,027-81317222,湖北省,武汉市,武昌区
B001B16H8Q,湖北中医药大学(昙华林校区),科教文化服务;学校;高等院校,141201,,昙华林188号,114.313335,30.550377,027-68889041,湖北省,武汉市,武昌区
B001B09JLJ,武汉小学,科教文化服务;学校;小学,141203,,中南路5号,114.330791,30.536442,027-87332506,湖北省,武汉市,武昌区
B001B062F2,武汉航海职业技术学院喻家湖校区,科教文化服务;学校;高等院校,141201,,友谊大道321号,114.327073,30.577345,027-86811585,湖北省,武汉市,武昌区
B001B0IQJE,武汉市第十四中学,科教文化服务;学校;中学,141202,,粮道街办事处粮道街昙华林117号(省中医学院对面),114.313134,30.55195,,湖北省,武汉市,武昌区
B001B0665F,武汉市第二十五中学,科教文化服务;学校;中学,141202,,民主路608号,114.322715,30.54277,,湖北省,武汉市,武昌区
B001B0IFQS,武汉大学外国语言文学学院,科教文化服务;学校;高等院校,141201,,八一路299号珞珈山,114.370963,30.539418,027-68753312,湖北省,武汉市,武昌区
B001B0IRE0,武汉大学信息管理学院,科教文化服务;学校;高等院校,141201,,珞珈山16号武汉大学,114.375258,30.536589,027-68754436;027-68752653;027-68752135,湖北省,武汉市,武昌区
B001B08KK1,武汉大学化学与分子科学学院,科教文化服务;学校;高等院校,141201,,八一路299号珞珈山,114.359846,30.536559,,湖北省,武汉市,武昌区
B001B0IS43,武汉大学第一临床学院,科教文化服务;学校;高等院校,141201,,张之洞路9号,114.294455,30.535751,027-88041919,湖北省,武汉市,武昌区
B001B0IYKS,武汉大学政治与公共管理学院,科教文化服务;学校;高等院校,141201,,八一路299号珞珈山,114.367968,30.537986,027-68755297,湖北省,武汉市,武昌区
B001B09JQ2,武汉市武珞路中学,科教文化服务;学校;中学,141202,,武珞路387-1-1号,114.328678,30.536761,027-87813048,湖北省,武汉市,武昌区
B001B07GAD,湖北省水果湖高级中学,科教文化服务;学校;中学,141202,,东湖路74号,114.346209,30.549153,027-87231067;027-87123142,湖北省,武汉市,武昌区
B001B0IJTK,武汉理工大学余家头校区余家头校区交通学院,科教文化服务;学校;高等院校,141201,,和平大道1178武汉理工大学余家头校区,114.358944,30.609789,,湖北省,武汉市,武昌区
B001B08L7M,武汉市第九中学,科教文化服务;学校;中学,141202,,紫湖村11号,114.30254,30.529887,,湖北省,武汉市,武昌区
B001B0ATGC,武汉市第三十九中学,科教文化服务;学校;中学,141202,,首义路116号,114.308476,30.535794,027-88060155,湖北省,武汉市,武昌区
B001B0I5ZF,湖北省水果湖第二中学,科教文化服务;学校;中学,141202,,八一路5号,114.340779,30.542906,027-87122141,湖北省,武汉市,武昌区
B001B0ATGQ,武汉市第四十五中学,科教文化服务;学校;中学,141202,,文明路74号,114.294687,30.539212,027-88320340,湖北省,武汉市,武昌区
B001B0I9QP,中国民航管理干部学院,科教文化服务;学校;成人教育,141205,,洪山路2号湖北科教大厦C座505室,114.339391,30.544192,,湖北省,武汉市,武昌区
B001B0I7V3,武汉市第二职业教育中心学校,科教文化服务;学校;职业技术学校,141206,,大东门千家街4号,114.315848,30.538134,027-88076810,湖北省,武汉市,武昌区
B001B0IRVB,武汉大学教育科学学院,科教文化服务;学校;高等院校,141201,,八一路299号武汉大学工学部内,114.360243,30.542869,,湖北省,武汉市,武昌区
B001B08AV1,武昌文华中学,科教文化服务;学校;中学,141202,,粮道街71号,114.304454,30.549194,,湖北省,武汉市,武昌区
B001B06EB1,湖北省中华文化学院,科教文化服务;学校;高等院校,141201,,和平大道872号社院大厦,114.330603,30.586994,,湖北省,武汉市,武昌区
B001B0I6LV,武汉市中北路中学,科教文化服务;学校;中学,141202,,中北路武重二街坊225号,114.348215,30.556065,027-87305295,湖北省,武汉市,武昌区
B001B1BX0W,武汉大学第5教学楼,科教文化服务;学校;学校,141200,,珞珈山街办事处珞珈山路16号武汉大学文理学部,114.361555,30.536173,,湖北省,武汉市,武昌区
B001B0JGNU,武汉理工大学物流工程学院,科教文化服务;学校;高等院校,141201,,理工大学余家头校区,114.35805,30.608446,,湖北省,武汉市,武昌区
B001B1CXLX,湖北省省直机关第三幼儿园,科教文化服务;学校;幼儿园,141204,,洪山路36号,114.346288,30.543919,027-87126567;027-87232427,湖北省,武汉市,武昌区
B0FFGWHY34,湖北省水果湖第一中学,科教文化服务;学校;中学,141202,,东湖路89号,114.344385,30.550339,027-87233941;027-87822032,湖北省,武汉市,武昌区
B001B0IR91,武汉大学留学生教育学院,科教文化服务;学校;高等院校,141201,,八一路299号珞珈山,114.374029,30.537561,027-87647553,湖北省,武汉市,武昌区
B0FFFFNCQ2,湖北省老年大学,科教文化服务;学校;成人教育,141205,,东湖路158号,114.363611,30.560712,027-88161088;027-88161017,湖北省,武汉市,武昌区
B001B09JCT,武昌实验寄宿小学(南湖校区),科教文化服务;学校;小学,141203,,建安街43号,114.311243,30.505466,,湖北省,武汉市,武昌区
B001B16P63,武汉大学土木建筑工程学院,科教文化服务;学校;高等院校,141201,,珞珈山16号武汉大学,114.361366,30.544399,027-68772624,湖北省,武汉市,武昌区
B001B0IQQY,武汉市洪山区武珞路小学,科教文化服务;学校;小学,141203,,武珞路651号,114.345781,30.529595,027-87881245,湖北省,武汉市,武昌区
B001B0JHJC,武汉市梅苑学校,科教文化服务;学校;小学,141203,,梅苑路11附10号,114.326269,30.53322,027-88073287,湖北省,武汉市,武昌区
B0FFHM4ZWE,武汉大学工学部四教学楼,科教文化服务;学校;学校,141200,,珞珈山16号武汉大学附近,114.361335,30.543046,,湖北省,武汉市,武昌区
B0FFI6NUX7,湖北省立第一中学,科教文化服务;学校;中学,141202,,昙华林172号附近,114.3124,30.551612,,湖北省,武汉市,武昌区
B001B1BWQ4,武汉大学计算机学院大楼,科教文化服务;学校;学校,141200,,珞珈山16号武汉大学,114.357593,30.538484,027-68775363;027-68775361,湖北省,武汉市,武昌区
B001B09EOF,湖北省武昌水果湖第二小学,科教文化服务;学校;小学,141203,,水果湖横路31号,114.343377,30.548589,027-87816935,湖北省,武汉市,武昌区
B001B06MSH,湖北省武昌实验小学,科教文化服务;学校;小学,141203,,解放路259号,114.296639,30.538846,,湖北省,武汉市,武昌区
B001B0ITNC,武昌区徐东路小学,科教文化服务;学校;小学,141203,,友谊大道567号,114.344317,30.594185,027-86811624,湖北省,武汉市,武昌区
B001B07QN5,武汉市陆家街中学,科教文化服务;学校;中学,141202,,白沙洲大道523号,114.298594,30.516994,027-88114032,湖北省,武汉市,武昌区
B001B09BZ6,武汉市粮道街中学(三角路校区),科教文化服务;学校;中学,141202,,和平大道756号,114.324115,30.577778,027-86811319,湖北省,武汉市,武昌区
B001B0666B,武汉市粮道街中学,科教文化服务;学校;中学,141202,,马蹄营48,114.315805,30.547134,027-88854376,湖北省,武汉市,武昌区
B001B06Y7W,湖北省邮电干部学校,科教文化服务;学校;成人教育,141205,,八一路208号,114.352483,30.534695,,湖北省,武汉市,武昌区
B0FFF67GV2,武汉市武昌首义中学,科教文化服务;学校;中学,141202,,张之洞路147号,114.3032,30.533171,027-88072228,湖北省,武汉市,武昌区
B001B0BDHX,武昌区中山路小学,科教文化服务;学校;小学,141203,,张之洞路286号,114.314487,30.532276,13886157889,湖北省,武汉市,武昌区
B0FFIPPETC,武汉市粮道街中学(积玉桥校区),科教文化服务;学校;中学,141202,,尚隆路16号,114.309705,30.558563,027-88873119,湖北省,武汉市,武昌区
B001B1BX15,武汉大学文理学部第4教学楼,科教文化服务;学校;学校,141200,,八一路299号,114.361908,30.536775,,湖北省,武汉市,武昌区
B001B0J0HD,武汉大学幼儿园(一分园),科教文化服务;学校;幼儿园,141204,,八一路299号武汉大学文理学部,114.365693,30.532117,027-68762358,湖北省,武汉市,武昌区
B001B0IVCR,余家头小学,科教文化服务;学校;小学,141203,,铁机路27号,114.352125,30.604402,027-86551601,湖北省,武汉市,武昌区
B0FFF3URGK,武汉大学附属中学初中部,科教文化服务;学校;中学,141202,,八一路301附近,114.365751,30.530534,,湖北省,武汉市,武昌区
B001B0IUJE,武昌区三角路小学,科教文化服务;学校;小学,141203,,和平大道赵家墩街武车三村101附2号,114.327548,30.580214,,湖北省,武汉市,武昌区
B0FFGCE8LA,武昌实验小学-复地东湖国际中学,科教文化服务;学校;中学,141202,,水果湖街街道中北路118号武昌实验小学,114.351708,30.562643,,湖北省,武汉市,武昌区
B001B1BZC0,武汉初级中学,科教文化服务;学校;中学,141202,,瑞景路,114.331246,30.520237,027-87608837;027-88912006,湖北省,武汉市,武昌区
B001B0ATGL,武汉市第十四初级中学,科教文化服务;学校;中学,141202,,丁字桥路70号,114.328972,30.524277,,湖北省,武汉市,武昌区
B001B0ISOH,武昌区千家街小学,科教文化服务;学校;小学,141203,,千家街107,114.31646,30.534851,027-88072967,湖北省,武汉市,武昌区
B001B171AC,武汉大学医学职业技术学院,科教文化服务;学校;高等院校,141201,,张之洞路7号,114.293328,30.536041,027-88320851;027-88076070,湖北省,武汉市,武昌区
B001B0I4VN,浇卉幼儿园,科教文化服务;学校;幼儿园,141204,,武珞路3巷附近,114.32299,30.536637,,湖北省,武汉市,武昌区
B001B09OJK,武汉市杨园学校(暂停营业),科教文化服务;学校;中学,141202,,杨园纺机路7号,114.350367,30.602096,,湖北省,武汉市,武昌区
B001B1E6LR,小星星幼儿园,科教文化服务;学校;幼儿园,141204,,八一路街道口荣泰小区北侧约90米,114.354817,30.534056,13507131772,湖北省,武汉市,武昌区
B001B1DIFU,武汉大学财务部,科教文化服务;学校;高等院校,141201,,珞珈山16号武汉大学,114.366311,30.536933,027-68752400,湖北省,武汉市,武昌区
B0FFFP5XXH,武汉软件工程职业学院(武昌校区),科教文化服务;学校;高等院校,141201,,东湖风景区街道关凤路特1号,114.352879,30.602251,,湖北省,武汉市,武昌区
B001B09J7Y,武昌区丁字桥小学,科教文化服务;学校;小学,141203,,丁字桥路76号绅宝驾校(涂家岭生鲜市场对面),114.326395,30.521186,,湖北省,武汉市,武昌区
B001B0I6PD,武汉市晒湖中学,科教文化服务;学校;中学,141202,,武昌火车站东广场东安路23号,114.317596,30.525931,027-51164129,湖北省,武汉市,武昌区
B001B160I5,天主教中南神哲学院,科教文化服务;学校;高等院校,141201,,花园山2号,114.308091,30.551293,,湖北省,武汉市,武昌区
B001B0I5S0,武昌区棋盘街小学,科教文化服务;学校;小学,141203,,棋盘街42号,114.314148,30.547463,027-88872267,湖北省,武汉市,武昌区
B001B1BXF3,武汉大学马克思主义学院,科教文化服务;学校;高等院校,141201,,珞珈山16号武汉大学,114.367868,30.538155,027-68756091,湖北省,武汉市,武昌区
B001B07G9J,湖北省实验幼儿园,科教文化服务;学校;幼儿园,141204,,紫阳东路武珞路四巷179号,114.322557,30.530644,027-88323868,湖北省,武汉市,武昌区
B001B0BDI1,武昌区昙华林小学,科教文化服务;学校;小学,141203,,昙华林9号互联网,114.306657,30.553315,027-88871414,湖北省,武汉市,武昌区
B001B0IJMP,武汉铁路局党校,科教文化服务;学校;学校,141200,,徐东大街96号,114.347575,30.585286,,湖北省,武汉市,武昌区
B0FFFDCGTX,文华大学文学院,科教文化服务;学校;高等院校,141201,,昙华林188号,114.311692,30.550651,,湖北省,武汉市,武昌区
B0FFF35KRT,武汉大学木工厂车间,科教文化服务;学校;高等院校,141201,,珞珈山街道珞珈山16号武汉大学弘毅大道附近,114.362091,30.540971,,湖北省,武汉市,武昌区
B001B1IIYT,武汉大学理学院,科教文化服务;学校;高等院校,141201,,珞珈山16号武汉大学樱花大道附近,114.366252,30.540042,,湖北省,武汉市,武昌区
B001B15SMD,武汉市铁四院学校,科教文化服务;学校;中学,141202,,和平大道745号,114.344464,30.604508,027-51155543,湖北省,武汉市,武昌区
B001B1C5QG,武汉市南湖中学(北校区),科教文化服务;学校;中学,141202,,长虹桥37附4号,114.311734,30.515185,027-88708936,湖北省,武汉市,武昌区
B001B06OE2,武昌区傅家坡小学,科教文化服务;学校;小学,141203,,武珞路325号,114.325834,30.538256,027-87812433,湖北省,武汉市,武昌区
B001B0J0CJ,武汉市新河街学校,科教文化服务;学校;中学,141202,,新生路83号,114.317278,30.566885,027-88214473,湖北省,武汉市,武昌区
B001B0B7DO,南湖花园艺术幼儿园,科教文化服务;学校;幼儿园,141204,,长虹桥103号,114.30983,30.512073,027-88032903,湖北省,武汉市,武昌区
B0FFG8QKCB,武汉大学国际教育学院,科教文化服务;学校;高等院校,141201,,东湖南路附近,114.374618,30.537278,027-68756991,湖北省,武汉市,武昌区
B001B1DI8R,武汉大学测试中心,科教文化服务;学校;高等院校,141201,,八一路299号武汉大学内,114.361442,30.532845,027-68752439,湖北省,武汉市,武昌区
B0FFG8FZRU,武汉大学樱花城堡,科教文化服务;学校;高等院校,141201,,樱花大道附近(武汉大学内),114.364055,30.539602,,湖北省,武汉市,武昌区
B001B09J8M,武昌区回民小学,科教文化服务;学校;小学,141203,,起义街71号附近,114.306249,30.52521,027-88073567,湖北省,武汉市,武昌区
B001B15XY5,武汉市东湖风景区东湖小学,科教文化服务;学校;小学,141203,,东湖路164,114.366116,30.56505,027-86783681,湖北省,武汉市,武昌区
B001B1DI82,武汉大学总裁班,科教文化服务;学校;高等院校,141201,,八一路299号珞珈山,114.371441,30.538798,,湖北省,武汉市,武昌区
B001B09J7V,武昌区大东门小学,科教文化服务;学校;小学,141203,,紫金村139,114.318798,30.551284,027-88871081,湖北省,武汉市,武昌区
B001B1CXU5,武汉大学药学院,科教文化服务;学校;高等院校,141201,,珞珈山16号武汉大学,114.361442,30.532845,027-68755114,湖北省,武汉市,武昌区
B001B0ATWW,东亭学校,科教文化服务;学校;中学,141202,,黄鹂路29号,114.35799,30.56581,027-86783065,湖北省,武汉市,武昌区
B001B1DI8J,武汉大学国际教育中心,科教文化服务;学校;高等院校,141201,,珞珈山16号武汉大学,114.358612,30.541854,,湖北省,武汉市,武昌区
B0FFG652H7,武汉大学-体育部,科教文化服务;学校;高等院校,141201,,松园东路武汉大学(文理学部),114.366696,30.543215,,湖北省,武汉市,武昌区
B001B1DCA2,武汉大学(创业)实训工程武汉大学教学基地,科教文化服务;学校;高等院校,141201,,八一路299号珞珈山,114.371433,30.53879,,湖北省,武汉市,武昌区
B001B06XOU,复兴路小学保安街校区,科教文化服务;学校;小学,141203,,保安街123号,114.300281,30.528092,027-88062321;027-88071987,湖北省,武汉市,武昌区
B001B0I6P7,武昌区首义路小学,科教文化服务;学校;小学,141203,,首义新村147号附近,114.308156,30.538018,027-88073174,湖北省,武汉市,武昌区
B001B1CWTX,武汉大学艺术学系,科教文化服务;学校;高等院校,141201,,珞珈山街办事处珞珈山16号武汉大学,114.377104,30.534948,027-68752126;027-68755163,湖北省,武汉市,武昌区
B001B170SV,武昌老年大学,科教文化服务;学校;成人教育,141205,,黄鹤楼街办事处彭刘杨路129号,114.296788,30.541662,027-88849050;027-88876100,湖北省,武汉市,武昌区
B0FFGCDQJD,武汉理工大学航运学院,科教文化服务;学校;高等院校,141201,,友谊大道1178号,114.35853,30.602436,,湖北省,武汉市,武昌区
B001B16NC8,武昌区中南路小学,科教文化服务;学校;小学,141203,,水果湖街办事处八一路武铁村91号,114.339641,30.541055,027-87821822,湖北省,武汉市,武昌区
B0FFF35LDV,武汉大学保藏中心,科教文化服务;学校;高等院校,141201,,珞南一路附近武汉大学,114.362676,30.532661,,湖北省,武汉市,武昌区
B001B1DCIF,武汉大学emba教育中心,科教文化服务;学校;高等院校,141201,,八一路299号珞珈山,114.371432,30.53879,,湖北省,武汉市,武昌区
B0FFF35LDP,武汉大学聚英楼,科教文化服务;学校;学校,141200,,珞珈山16号武汉大学桂园一路附近,114.359281,30.53628,,湖北省,武汉市,武昌区
B001B0JU6H,武汉市四美塘中学,科教文化服务;学校;中学,141202,,四美塘路4号,114.33767,30.599358,,湖北省,武汉市,武昌区
B0FFGK3N07,武汉大学本科生院楼,科教文化服务;学校;高等院校,141201,,珞珈山16号,114.35792,30.534206,027-68754231,湖北省,武汉市,武昌区
B001B0I6OW,七星乐乐幼儿园,科教文化服务;学校;幼儿园,141204,,南湖街办事处南湖花园平安路139号七星雪香花园旁,114.319765,30.506278,027-88771418,湖北省,武汉市,武昌区
B001B0IZKK,武汉理工大学(余家头校区),科教文化服务;学校;高等院校,141201,,和平大道1178号,114.35659,30.606353,027-86546114;027-86554447,湖北省,武汉市,武昌区
B0FFGER7KB,武汉大学信息中心,科教文化服务;学校;高等院校,141201,,文澜路武汉大学(文理学部),114.360407,30.543769,,湖北省,武汉市,武昌区
B001B09JB3,新河街小学,科教文化服务;学校;小学,141203,,富贵里92号,114.31767,30.574025,,湖北省,武汉市,武昌区
B001B16R7K,武汉理工大学余家头校区余家头校区外国语学院,科教文化服务;学校;高等院校,141201,,杨园街办事处和平大道1178号武汉理工大学余家头校区,114.355792,30.609168,,湖北省,武汉市,武昌区
B0FFHRJHHZ,武汉大学城市设计学院,科教文化服务;学校;高等院校,141201,,珞珈山街道八一路299号,114.365299,30.542492,027-87056367,湖北省,武汉市,武昌区
B001B08KJU,武汉大学第二附属小学,科教文化服务;学校;小学,141203,,珞珈山16号武汉大学,114.358259,30.539989,027-68772045,湖北省,武汉市,武昌区
B0FFGCB48L,武昌区三道街小学,科教文化服务;学校;小学,141203,,三道街10号(近中华路派出所),114.304166,30.54644,027-88873652,湖北省,武汉市,武昌区
B001B1DI99,武汉大学水利水电学院,科教文化服务;学校;高等院校,141201,,东湖南路8号武汉大学桃园教8楼,114.362434,30.542641,027-68774370;027-68772215,湖北省,武汉市,武昌区
B0FFGAZ3SP,武汉大学保卫部二分部,科教文化服务;学校;高等院校,141201,,八一路299号,114.360462,30.543423,,湖北省,武汉市,武昌区
B0FFG98AFO,武汉大学枫园教学楼,科教文化服务;学校;高等院校,141201,,珞珈山16号武汉大学,114.374362,30.536974,,湖北省,武汉市,武昌区
B001B1CX44,武汉大学应用数学系,科教文化服务;学校;高等院校,141201,,八一路武汉大学数学与统计学院,114.364607,30.540257,,湖北省,武汉市,武昌区
B001B1BXVU,武汉大学基础数学系,科教文化服务;学校;高等院校,141201,,珞珈山16号武汉大学,114.364616,30.540229,,湖北省,武汉市,武昌区
B0FFG3YHUF,武汉大学商学院EMBA中心,科教文化服务;学校;高等院校,141201,,珞珈山16号武汉大学,114.373711,30.538649,,湖北省,武汉市,武昌区
B0FFGPTHJE,中山路小学紫都一分校,科教文化服务;学校;小学,141203,,白沙洲街办事处武金堤公路中大长江紫都,114.289048,30.515038,,湖北省,武汉市,武昌区
B0FFFGV5O9,武汉音乐学院-中乐排练厅,科教文化服务;学校;高等院校,141201,,张之洞路附近,114.291327,30.535976,,湖北省,武汉市,武昌区
B001B0BDHE,武昌区武泰闸小学,科教文化服务;学校;小学,141203,,钢厂路与建船路交叉处附近,114.304637,30.517787,027-88073871,湖北省,武汉市,武昌区
B001B1BYZM,武汉市东亭学校小学部,科教文化服务;学校;小学,141203,,中北路136号附122号,114.355098,30.563774,,湖北省,武汉市,武昌区
B001B1C0DJ,中南神学院,科教文化服务;学校;高等院校,141201,,民主路221号,114.303259,30.545995,,湖北省,武汉市,武昌区
B001B1DI5V,武汉大学电子信息学院,科教文化服务;学校;高等院校,141201,,八一路299号(武汉大学),114.358587,30.537868,027-68778464,湖北省,武汉市,武昌区
